Season,T1TeamID,T1Score,T2TeamID,T2Score,Result,T1Seed,T2Seed,SeedDiff
1985,1116,63,1234,54,1,9,8,1
1985,1120,59,1345,58,1,11,6,5
1985,1207,68,1250,43,1,1,16,-15
1985,1229,58,1425,55,1,9,8,1
1985,1242,49,1325,38,1,3,14,-11
1985,1246,66,1449,58,1,12,5,7
1985,1256,78,1338,54,1,5,12,-7
1985,1260,59,1233,58,1,4,13,-9
1985,1314,76,1292,57,1,2,15,-13
1985,1323,79,1333,70,1,7,10,-3
1985,1326,75,1235,64,1,4,13,-9
1985,1328,96,1299,83,1,1,16,-15
1985,1374,85,1330,68,1,5,12,-7
1985,1385,83,1380,59,1,1,16,-15
1985,1396,60,1439,57,1,8,9,-1
1985,1424,85,1361,80,1,4,13,-9
1985,1104,50,1112,41,1,7,10,-3
1985,1130,55,1403,53,1,11,6,5
1985,1181,75,1337,62,1,3,14,-11
1985,1208,67,1455,59,1,6,11,-5
1985,1210,65,1273,58,1,2,15,-13
1985,1228,76,1318,57,1,3,14,-11
1985,1268,69,1275,68,1,5,12,-7
1985,1272,67,1335,55,1,2,15,-13
1985,1276,59,1192,55,1,1,16,-15
1985,1298,78,1261,55,1,13,4,9
1985,1301,65,1305,56,1,3,14,-11
1985,1393,70,1177,65,1,7,10,-3
1985,1412,70,1277,68,1,7,10,-3
1985,1431,79,1409,75,1,11,6,5
1985,1433,81,1267,65,1,2,15,-13
1985,1437,51,1173,49,1,8,9,-1
1985,1120,66,1242,64,1,11,3,8
1985,1207,63,1396,46,1,1,8,-7
1985,1246,64,1424,61,1,12,4,8
1985,1256,79,1326,67,1,5,4,1
1985,1260,70,1374,57,1,4,5,-1
1985,1314,60,1323,58,1,2,7,-5
1985,1328,75,1229,69,1,1,9,-8
1985,1385,68,1116,65,1,1,9,-8
1985,1104,63,1433,59,1,7,2,5
1985,1130,74,1181,73,1,11,3,8
1985,1210,70,1393,53,1,2,7,-5
1985,1228,74,1208,58,1,3,6,-3
1985,1268,64,1298,59,1,5,13,-8
1985,1272,67,1412,66,1,2,7,-5
1985,1301,86,1431,73,1,3,11,-8
1985,1437,59,1276,55,1,8,1,7
1985,1207,65,1260,53,1,1,4,-3
1985,1210,61,1228,53,1,2,3,-1
1985,1272,59,1130,57,1,2,11,-9
1985,1328,86,1256,84,1,1,5,-4
1985,1301,61,1104,55,1,3,7,-4
1985,1314,62,1120,56,1,2,11,-9
1985,1385,86,1246,70,1,1,12,-11
1985,1437,46,1268,43,1,8,5,3
1985,1207,60,1210,54,1,1,2,-1
1985,1272,63,1328,61,1,2,1,1
1985,1385,69,1301,60,1,1,3,-2
1985,1437,56,1314,44,1,8,2,6
1985,1207,77,1385,59,1,1,1,0
1985,1437,52,1272,45,1,8,2,6
1985,1437,66,1207,64,1,8,1,7
1986,1133,83,1431,65,1,7,10,-3
1986,1177,72,1438,68,1,12,5,7
1986,1181,85,1290,78,1,1,16,-15
1986,1207,70,1403,64,1,4,13,-9
1986,1210,68,1265,53,1,2,15,-13
1986,1242,71,1299,46,1,1,16,-15
1986,1257,93,1180,73,1,2,15,-13
1986,1261,94,1345,87,1,11,6,5
1986,1272,95,1123,63,1,3,14,-11
1986,1277,72,1449,70,1,5,12,-7
1986,1314,84,1428,72,1,3,14,-11
1986,1328,80,1318,74,1,4,13,-9
1986,1330,72,1452,64,1,8,9,-1
1986,1396,61,1239,50,1,9,8,1
1986,1412,66,1281,64,1,6,11,-5
1986,1437,71,1439,62,1,10,7,3
1986,1104,97,1462,80,1,5,12,-7
1986,1114,90,1323,83,1,14,3,11
1986,1120,73,1112,63,1,8,9,-1
1986,1156,83,1231,79,1,14,3,11
1986,1228,75,1193,51,1,4,13,-9
1986,1235,81,1275,79,1,7,10,-3
1986,1246,75,1172,55,1,1,16,-15
1986,1268,69,1337,64,1,5,12,-7
1986,1276,70,1103,64,1,2,15,-13
1986,1298,87,1409,68,1,7,10,-3
1986,1301,66,1234,64,1,6,11,-5
1986,1385,83,1286,74,1,1,16,-15
1986,1386,60,1350,59,1,6,11,-5
1986,1393,101,1135,52,1,2,15,-13
1986,1424,74,1419,51,1,4,13,-9
1986,1443,67,1304,59,1,8,9,-1
1986,1177,74,1328,69,1,12,4,8
1986,1181,89,1330,61,1,1,8,-7
1986,1210,66,1437,61,1,2,10,-8
1986,1242,65,1396,43,1,1,9,-8
1986,1257,82,1133,68,1,2,7,-5
