Season,T1TeamID,T1Score,T2TeamID,T2Score,T1Seed,T2Seed,SeedDiff,Result
1985,1116,63,1234,54,9,8,1,1
1985,1120,59,1345,58,11,6,5,1
1985,1207,68,1250,43,1,16,-15,1
1985,1229,58,1425,55,9,8,1,1
1985,1242,49,1325,38,3,14,-11,1
1985,1246,66,1449,58,12,5,7,1
1985,1256,78,1338,54,5,12,-7,1
1985,1260,59,1233,58,4,13,-9,1
1985,1314,76,1292,57,2,15,-13,1
1985,1323,79,1333,70,7,10,-3,1
1985,1326,75,1235,64,4,13,-9,1
1985,1328,96,1299,83,1,16,-15,1
1985,1374,85,1330,68,5,12,-7,1
1985,1385,83,1380,59,1,16,-15,1
1985,1396,60,1439,57,8,9,-1,1
1985,1424,85,1361,80,4,13,-9,1
1985,1104,50,1112,41,7,10,-3,1
1985,1130,55,1403,53,11,6,5,1
1985,1181,75,1337,62,3,14,-11,1
1985,1208,67,1455,59,6,11,-5,1
1985,1210,65,1273,58,2,15,-13,1
1985,1228,76,1318,57,3,14,-11,1
1985,1268,69,1275,68,5,12,-7,1
1985,1272,67,1335,55,2,15,-13,1
1985,1276,59,1192,55,1,16,-15,1
1985,1298,78,1261,55,13,4,9,1
1985,1301,65,1305,56,3,14,-11,1
1985,1393,70,1177,65,7,10,-3,1
1985,1412,70,1277,68,7,10,-3,1
1985,1431,79,1409,75,11,6,5,1
1985,1433,81,1267,65,2,15,-13,1
1985,1437,51,1173,49,8,9,-1,1
1985,1120,66,1242,64,11,3,8,1
1985,1207,63,1396,46,1,8,-7,1
1985,1246,64,1424,61,12,4,8,1
1985,1256,79,1326,67,5,4,1,1
1985,1260,70,1374,57,4,5,-1,1
1985,1314,60,1323,58,2,7,-5,1
1985,1328,75,1229,69,1,9,-8,1
1985,1385,68,1116,65,1,9,-8,1
1985,1104,63,1433,59,7,2,5,1
1985,1130,74,1181,73,11,3,8,1
1985,1210,70,1393,53,2,7,-5,1
1985,1228,74,1208,58,3,6,-3,1
1985,1268,64,1298,59,5,13,-8,1
